payment_id,customer_id,amount,payment_method,hour_of_day,day_of_week,retry_count,failure_reason,failure_source,failure_step,failure_code,customer_tenure_days,previous_success_count,previous_failure_count,customer_recent_activity,historical_recovery_rate,recovered
P00048,C0844,1832.54,upi,2,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,814,5,5,low,0.45454545454545453,0
P00049,C0251,1513.17,netbanking,6,Thursday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,180,2,2,high,0.4,0
P00050,C0808,1490.11,card,9,Tuesday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,948,8,2,medium,0.7272727272727273,0
P00051,C0835,5512.64,card,18,Friday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1159,12,1,medium,0.8571428571428571,1
P00052,C0130,605.63,card,14,Friday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,990,9,0,high,0.9,1
P00053,C0764,1980.29,upi,14,Monday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,852,10,1,low,0.8333333333333334,1
P00054,C0358,645.85,upi,4,Monday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1309,6,4,high,0.5454545454545454,1
P00055,C0944,6430.09,netbanking,2,Tuesday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,96,8,4,medium,0.6153846153846154,1
P00056,C0692,2129.79,upi,2,Sunday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1468,8,3,high,0.6666666666666666,1
P00057,C0408,5149.99,card,3,Tuesday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,1395,6,2,high,0.6666666666666666,1
P00058,C0861,10399.76,netbanking,14,Monday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,310,6,2,low,0.6666666666666666,0
P00059,C0495,10576.89,card,15,Saturday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1276,7,2,low,0.7,1
P00060,C0622,1072.66,netbanking,4,Thursday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1446,6,4,high,0.5454545454545454,1
P00061,C0482,4062.12,card,20,Thursday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,247,8,3,low,0.6666666666666666,1
P00062,C0980,9148.95,card,7,Friday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,572,12,0,medium,0.9230769230769231,0
P00063,C0850,5981.8,upi,9,Saturday,1,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,155,9,4,high,0.6428571428571429,0
P00064,C0078,6603.34,card,21,Thursday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,759,9,3,high,0.6923076923076923,1
P00065,C0978,501.04,card,20,Wednesday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,928,8,3,low,0.6666666666666666,0
P00066,C0514,5890.8,upi,1,Monday,2,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1480,7,2,medium,0.7,0
P00067,C0321,1348.93,card,13,Tuesday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1330,6,0,medium,0.8571428571428571,0
P00068,C0788,5794.63,card,4,Monday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1401,13,2,medium,0.8125,0
P00069,C0290,5669.23,card,6,Wednesday,2,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,907,7,2,medium,0.7,0
P00070,C0297,5377.17,upi,10,Thursday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,427,10,5,low,0.625,0
P00071,C0681,2668.71,card,2,Monday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1266,3,1,high,0.6,1
P00072,C0752,11115.45,card,11,Wednesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,882,6,1,high,0.75,1
P00073,C0971,4965.69,upi,13,Saturday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1403,11,4,low,0.6875,0
P00074,C0475,4111.39,upi,22,Thursday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,1038,4,4,low,0.4444444444444444,0
P00075,C0023,1170.97,upi,0,Sunday,1,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1245,7,1,medium,0.7777777777777778,0
P00076,C0806,4429.72,card,21,Friday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,796,10,1,high,0.8333333333333334,0
P00077,C0172,21562.49,card,15,Saturday,1,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,219,4,1,high,0.6666666666666666,0
P00078,C0835,742.35,upi,14,Friday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1159,12,1,medium,0.8571428571428571,0
P00079,C0318,6186.38,netbanking,0,Friday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1336,5,0,high,0.8333333333333334,0
P00080,C0908,7018.04,upi,22,Saturday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,555,7,1,medium,0.7777777777777778,1
P00081,C0798,16739.38,card,21,Wednesday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,297,6,8,medium,0.4,0
P00082,C0991,6159.43,card,12,Wednesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,675,6,1,low,0.75,0
P00083,C0855,3012.96,netbanking,14,Tuesday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,877,2,4,medium,0.2857142857142857,1
P00084,C0193,4548.77,upi,16,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,471,6,3,high,0.6,0
P00085,C0681,2280.03,card,8,Friday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,1266,3,1,high,0.6,1
P00086,C0916,10089.57,card,4,Monday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,555,6,2,high,0.6666666666666666,0
P00087,C0118,633.35,netbanking,22,Thursday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,164,6,1,low,0.75,1
P00088,C0006,1830.11,card,11,Tuesday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,1125,11,1,medium,0.8461538461538461,1
P00089,C0843,4657.14,upi,16,Thursday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1383,7,2,low,0.7,0
P00090,C0483,9613.57,upi,10,Saturday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,503,11,1,low,0.8461538461538461,1
P00091,C0132,2940.15,card,10,Monday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,672,7,1,medium,0.7777777777777778,1
P00092,C0093,1363.3,card,23,Friday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,821,4,3,medium,0.5,0
P00093,C0763,2414.21,card,7,Sunday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,434,7,3,medium,0.6363636363636364,0
P00094,C0522,2065.32,netbanking,14,Thursday,1,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1355,12,2,medium,0.8,1
P00095,C0563,2162.51,upi,1,Saturday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,896,7,3,medium,0.6363636363636364,1
P00096,C0861,1929.12,netbanking,21,Friday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,310,6,2,low,0.6666666666666666,0
P00097,C0294,1929.96,upi,9,Sunday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,986,8,0,medium,0.8888888888888888,1
P00098,C0641,535.96,netbanking,20,Thursday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1468,8,3,low,0.6666666666666666,0
P00099,C1000,4024.49,netbanking,21,Monday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,744,10,0,medium,0.9090909090909091,0
P00100,C0392,5853.14,upi,13,Tuesday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,683,7,0,high,0.875,0
P00101,C0249,13338.3,card,4,Wednesday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,670,2,1,medium,0.5,0
P00102,C0614,7047.31,upi,16,Friday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,983,10,0,low,0.9090909090909091,0
P00103,C0849,6696.63,upi,17,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,234,4,3,high,0.5,0
P00104,C0595,4007.86,upi,18,Thursday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,598,6,0,high,0.8571428571428571,1
P00105,C0703,511.55,netbanking,6,Saturday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,387,8,1,medium,0.8,0
P00106,C0417,3944.75,card,17,Saturday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,293,7,2,medium,0.7,1
P00107,C0143,3335.5,card,11,Tuesday,1,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,921,6,4,high,0.5454545454545454,0
P00108,C0237,8348.8,upi,14,Wednesday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,793,11,2,medium,0.7857142857142857,0
P00109,C0287,5257.86,card,13,Friday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,128,6,1,low,0.75,0
P00110,C0277,2617.9,upi,9,Friday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1173,11,1,medium,0.8461538461538461,0
P00111,C0387,21123.73,wallet,16,Tuesday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,714,7,1,low,0.7777777777777778,0
P00112,C0382,6963.63,upi,0,Monday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,437,9,0,medium,0.9,0
P00113,C0450,4187.52,netbanking,3,Thursday,2,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,542,5,2,low,0.625,0
P00114,C0291,4699.98,upi,8,Tuesday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,367,7,2,medium,0.7,0
P00115,C0169,3169.03,upi,3,Monday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1384,7,2,medium,0.7,1
P00116,C0443,3030.57,upi,18,Friday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,146,10,2,medium,0.7692307692307693,0
P00117,C0656,340.28,card,23,Thursday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,485,6,4,high,0.5454545454545454,0
P00118,C0184,1193.82,upi,4,Friday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,678,6,2,medium,0.6666666666666666,1
P00119,C0045,1735.54,card,17,Wednesday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1184,11,2,high,0.7857142857142857,1
P00120,C0755,4678.04,wallet,14,Saturday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1270,8,3,medium,0.6666666666666666,0
P00121,C0827,571.53,card,19,Sunday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1361,14,3,medium,0.7777777777777778,0
P00122,C0946,1770.17,card,7,Monday,2,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,138,7,1,low,0.7777777777777778,1
P00123,C0981,1557.26,upi,1,Wednesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1093,2,6,medium,0.2222222222222222,0
P00124,C0268,3350.13,upi,12,Wednesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,38,10,3,medium,0.7142857142857143,0
P00125,C0476,4689.7,card,12,Wednesday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,123,4,2,medium,0.5714285714285714,1
P00126,C0253,1562.73,card,13,Monday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1351,11,3,high,0.7333333333333333,0
P00127,C0396,1679.19,netbanking,14,Thursday,2,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1145,9,1,medium,0.8181818181818182,0
P00128,C0289,1509.76,upi,20,Sunday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,943,5,3,high,0.5555555555555556,1
P00129,C0212,2018.02,card,11,Friday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,759,10,2,medium,0.7692307692307693,1
P00130,C1000,2832.33,upi,22,Thursday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,744,10,0,medium,0.9090909090909091,0
P00131,C0689,11104.72,card,4,Saturday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,1286,12,4,medium,0.7058823529411765,1
P00132,C0021,1083.02,card,2,Thursday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,835,6,1,low,0.75,1
P00133,C0316,17168.66,wallet,17,Thursday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,592,8,0,low,0.8888888888888888,0
P00134,C0564,867.99,card,2,Friday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,902,9,1,medium,0.8181818181818182,1
P00135,C0438,7743.76,card,13,Friday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,149,10,2,low,0.7692307692307693,0
P00136,C0423,1852.34,wallet,1,Monday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,803,7,0,high,0.875,1
P00137,C0233,1198.76,upi,17,Saturday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1379,5,1,medium,0.7142857142857143,1
P00138,C0945,11124.22,card,12,Tuesday,1,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,262,8,4,high,0.6153846153846154,0
P00139,C0123,3234.9,upi,1,Friday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1101,9,1,medium,0.8181818181818182,0
P00140,C0874,3113.45,netbanking,11,Friday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,563,5,2,high,0.625,0
P00141,C0960,2259.56,card,1,Saturday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1373,10,2,high,0.7692307692307693,1
P00142,C0612,1666.59,upi,7,Tuesday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1062,7,0,low,0.875,0
P00143,C0214,2497.77,upi,4,Friday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,276,4,1,medium,0.6666666666666666,1
P00144,C0922,118.29,upi,10,Thursday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,948,8,2,medium,0.7272727272727273,1
P00145,C0839,466.99,upi,12,Saturday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,929,9,2,low,0.75,1
P00146,C0647,4413.04,upi,20,Friday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,743,6,1,medium,0.75,0
P00147,C0968,9728.13,card,16,Monday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,306,4,1,medium,0.6666666666666666,0
P00148,C0830,11655.77,netbanking,23,Friday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1013,6,0,low,0.8571428571428571,1
P00149,C0730,1144.82,card,15,Tuesday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,938,10,2,low,0.7692307692307693,1
P00150,C0600,3614.91,upi,18,Thursday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,964,7,4,low,0.5833333333333334,0
P00151,C0792,332.46,upi,14,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,279,6,1,high,0.75,0
P00152,C0040,2097.73,upi,17,Saturday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,716,5,2,medium,0.625,0
P00153,C0752,6793.3,upi,5,Friday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,882,6,1,high,0.75,0
P00154,C0332,2929.25,upi,3,Friday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1102,8,3,medium,0.6666666666666666,0
P00155,C0943,2139.34,card,3,Sunday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1447,9,2,high,0.75,0
P00156,C0648,2941.61,upi,12,Monday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,68,9,0,low,0.9,0
P00157,C0182,10752.01,netbanking,8,Thursday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,739,8,3,low,0.6666666666666666,0
P00158,C0265,2333.91,netbanking,9,Friday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1090,8,2,high,0.7272727272727273,1
P00159,C0771,3205.57,upi,13,Sunday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1026,9,1,medium,0.8181818181818182,0
P00160,C0694,13621.36,card,7,Monday,2,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1312,7,3,high,0.6363636363636364,0
P00161,C0533,2372.45,card,2,Monday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1051,4,1,medium,0.6666666666666666,1
P00162,C0863,580.26,card,8,Tuesday,1,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1248,10,0,high,0.9090909090909091,0
P00163,C0432,11712.45,upi,0,Thursday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,685,6,2,high,0.6666666666666666,0
P00164,C0943,8230.44,card,14,Wednesday,1,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1447,9,2,high,0.75,0
P00165,C0984,324.84,wallet,14,Saturday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,949,6,3,medium,0.6,0
P00166,C0196,2617.08,netbanking,6,Sunday,2,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1439,12,0,high,0.9230769230769231,0
P00167,C0724,2915.62,card,14,Monday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1254,10,2,medium,0.7692307692307693,0
P00168,C0509,11715.3,upi,6,Wednesday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,881,10,2,high,0.7692307692307693,0
P00169,C0447,2938.39,upi,12,Tuesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1042,12,1,medium,0.8571428571428571,1
P00170,C0528,3518.95,card,11,Monday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,878,12,0,high,0.9230769230769231,0
P00171,C0202,3629.99,upi,17,Saturday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,142,13,0,low,0.9285714285714286,0
P00172,C0875,1870.4,upi,6,Thursday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1458,7,2,medium,0.7,0
P00173,C0730,10907.77,card,6,Wednesday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,938,10,2,low,0.7692307692307693,1
P00174,C0605,1349.83,upi,14,Thursday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1216,6,3,low,0.6,0
P00175,C0133,1834.55,wallet,8,Wednesday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1058,13,2,medium,0.8125,1
P00176,C0139,2963.31,card,5,Sunday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,824,10,1,medium,0.8333333333333334,0
P00177,C0669,782.07,upi,8,Tuesday,2,network_error,gateway,payment_processing,GATEWAY_ERROR,958,12,4,medium,0.7058823529411765,1
P00178,C0493,17420.61,card,18,Monday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,831,7,2,medium,0.7,0
P00179,C0847,2978.41,netbanking,23,Monday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,575,6,4,low,0.5454545454545454,0
P00180,C0070,6799.52,netbanking,19,Tuesday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1441,9,2,high,0.75,0
P00181,C0816,1144.26,card,15,Saturday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1475,3,3,high,0.42857142857142855,0
P00182,C0015,6073.77,netbanking,15,Saturday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,901,9,1,high,0.8181818181818182,0
P00183,C0747,6611.69,card,0,Friday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,1118,9,1,medium,0.8181818181818182,1
P00184,C0212,7637.83,card,22,Wednesday,0,incorrect_otp,customer,payment_authorization,SERVER_ERROR,759,10,2,medium,0.7692307692307693,1
P00185,C0802,20030.27,upi,12,Saturday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,1019,7,1,medium,0.7777777777777778,0
P00186,C0060,1705.75,card,18,Saturday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1393,10,1,low,0.8333333333333334,0
P00187,C0252,2473.41,upi,3,Wednesday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1468,11,3,low,0.7333333333333333,1
