customer_id,customer_tenure_days,previous_success_count,previous_failure_count,customer_recent_activity,historical_recovery_rate
C0063,985,5,1,high,0.7142857142857143
C0064,1481,5,4,medium,0.5
C0065,538,8,0,low,0.8888888888888888
C0066,805,8,2,low,0.7272727272727273
C0067,64,3,0,low,0.75
C0068,235,4,3,medium,0.5
C0069,1134,8,2,high,0.7272727272727273
C0070,1441,9,2,high,0.75
C0071,1055,8,2,high,0.7272727272727273
C0072,1051,8,1,medium,0.8
C0073,1443,9,2,medium,0.75
C0074,595,7,2,medium,0.7
C0075,1159,11,3,medium,0.7333333333333333
C0076,732,10,3,high,0.7142857142857143
C0077,431,10,1,medium,0.8333333333333334
C0078,759,9,3,high,0.6923076923076923
C0079,191,6,3,medium,0.6
C0080,231,5,4,low,0.5
C0081,1025,9,0,low,0.9
C0082,299,6,1,medium,0.75
C0083,845,5,0,high,0.8333333333333334
C0084,1324,8,1,medium,0.8
C0085,485,9,0,high,0.9
C0086,1305,12,2,high,0.8
C0087,1046,8,5,medium,0.5714285714285714
C0088,325,14,0,high,0.9333333333333333
C0089,749,3,6,medium,0.3
C0090,367,6,0,high,0.8571428571428571
C0091,908,8,4,high,0.6153846153846154
C0092,1106,10,2,high,0.7692307692307693
C0093,821,4,3,medium,0.5
C0094,246,6,1,medium,0.75
C0095,793,9,4,low,0.6428571428571429
C0096,217,7,2,medium,0.7
C0097,409,11,1,high,0.8461538461538461
C0098,522,11,0,high,0.9166666666666666
C0099,1094,8,3,medium,0.6666666666666666
C0100,1210,10,4,low,0.6666666666666666
C0101,44,8,2,medium,0.7272727272727273
C0102,94,5,4,medium,0.5
C0103,550,5,3,medium,0.5555555555555556
C0104,1397,12,2,medium,0.8
C0105,1182,7,5,high,0.5384615384615384
C0106,677,13,1,low,0.8666666666666667
C0107,1116,6,2,medium,0.6666666666666666
C0108,1192,7,2,high,0.7
C0109,622,12,1,medium,0.8571428571428571
C0110,421,8,0,medium,0.8888888888888888
C0111,448,12,3,high,0.75
C0112,318,3,3,high,0.42857142857142855
C0113,408,9,3,medium,0.6923076923076923
C0114,260,6,2,medium,0.6666666666666666
C0115,1047,6,3,high,0.6
C0116,70,8,3,high,0.6666666666666666
C0117,1081,8,0,medium,0.8888888888888888
C0118,164,6,1,low,0.75
C0119,230,5,4,low,0.5
C0120,809,9,1,low,0.8181818181818182
C0121,959,11,2,medium,0.7857142857142857
C0122,1086,7,3,low,0.6363636363636364
C0123,1101,9,1,medium,0.8181818181818182
C0124,532,4,1,high,0.6666666666666666
C0125,436,4,4,medium,0.4444444444444444
C0126,834,6,5,high,0.5
C0127,128,4,1,high,0.6666666666666666
C0128,713,10,1,medium,0.8333333333333334
C0129,755,10,5,high,0.625
C0130,990,9,0,high,0.9
C0131,642,15,2,medium,0.8333333333333334
C0132,672,7,1,medium,0.7777777777777778
C0133,1058,13,2,medium,0.8125
C0134,1271,5,2,high,0.625
C0135,532,10,1,medium,0.8333333333333334
C0136,796,7,3,low,0.6363636363636364
C0137,427,11,3,high,0.7333333333333333
C0138,900,7,3,medium,0.6363636363636364
C0139,824,10,1,medium,0.8333333333333334
C0140,422,9,0,high,0.9
C0141,236,12,2,medium,0.8
C0142,1068,5,1,high,0.7142857142857143
C0143,921,6,4,high,0.5454545454545454
C0144,893,8,4,medium,0.6153846153846154
C0145,772,11,1,low,0.8461538461538461
C0146,1294,5,0,high,0.8333333333333334
C0147,593,6,2,high,0.6666666666666666
C0148,1050,7,2,low,0.7
C0149,125,10,4,medium,0.6666666666666666
C0150,514,7,1,medium,0.7777777777777778
C0151,1460,8,1,high,0.8
C0152,260,9,2,high,0.75
C0153,778,7,6,low,0.5
C0154,1224,7,1,high,0.7777777777777778
C0155,570,8,0,low,0.8888888888888888
C0156,1089,11,1,high,0.8461538461538461
C0157,554,12,1,medium,0.8571428571428571
C0158,1213,8,0,medium,0.8888888888888888
C0159,1296,11,1,low,0.8461538461538461
C0160,1139,5,1,low,0.7142857142857143
C0161,607,10,4,high,0.6666666666666666
C0162,711,9,6,medium,0.5625
C0163,586,9,1,low,0.8181818181818182
C0164,1042,7,1,low,0.7777777777777778
C0165,675,9,1,low,0.8181818181818182
C0166,825,12,2,high,0.8
C0167,1081,7,0,high,0.875
C0168,1393,10,5,low,0.625
C0169,1384,7,2,medium,0.7
C0170,1401,4,2,low,0.5714285714285714
C0171,1284,9,1,high,0.8181818181818182
C0172,219,4,1,high,0.6666666666666666
C0173,1278,7,1,high,0.7777777777777778
C0174,1438,15,6,high,0.6818181818181818
C0175,1430,10,2,high,0.7692307692307693
C0176,1336,5,1,high,0.7142857142857143
C0177,662,7,0,medium,0.875
C0178,657,3,4,medium,0.375
C0179,1002,3,0,medium,0.75
C0180,1312,8,4,medium,0.6153846153846154
C0181,1412,9,1,medium,0.8181818181818182
C0182,739,8,3,low,0.6666666666666666
C0183,1464,4,2,medium,0.5714285714285714
C0184,678,6,2,medium,0.6666666666666666
C0185,347,7,3,medium,0.6363636363636364
C0186,1278,7,1,medium,0.7777777777777778
C0187,1287,4,1,high,0.6666666666666666
C0188,713,5,1,high,0.7142857142857143
C0189,693,13,2,high,0.8125
C0190,1427,11,1,medium,0.8461538461538461
C0191,1286,4,1,medium,0.6666666666666666
C0192,1166,8,1,low,0.8
C0193,471,6,3,high,0.6
C0194,593,4,6,medium,0.36363636363636365
C0195,1321,5,2,low,0.625
C0196,1439,12,0,high,0.9230769230769231
C0197,1440,9,0,low,0.9
C0198,1166,7,3,medium,0.6363636363636364
C0199,981,11,3,low,0.7333333333333333
C0200,1134,10,4,low,0.6666666666666666
C0201,728,11,2,low,0.7857142857142857
C0202,142,13,0,low,0.9285714285714286
C0203,31,9,2,high,0.75
C0204,671,7,3,high,0.6363636363636364
C0205,249,5,2,medium,0.625
C0206,884,8,1,high,0.8
C0207,1278,9,2,medium,0.75
C0208,414,6,2,medium,0.6666666666666666
C0209,1456,7,1,low,0.7777777777777778
C0210,1183,7,1,medium,0.7777777777777778
C0211,1106,10,4,medium,0.6666666666666666
C0212,759,10,2,medium,0.7692307692307693
C0213,1469,6,4,high,0.5454545454545454
C0214,276,4,1,medium,0.6666666666666666
C0215,865,4,1,medium,0.6666666666666666
C0216,1492,4,3,high,0.5
C0217,232,9,2,medium,0.75
C0218,1237,7,1,medium,0.7777777777777778
C0219,152,11,1,high,0.8461538461538461
C0220,430,8,1,medium,0.8
C0221,796,12,1,low,0.8571428571428571
C0222,323,10,0,medium,0.9090909090909091
C0223,309,4,3,medium,0.5
C0224,913,3,4,medium,0.375
C0225,227,5,1,low,0.7142857142857143
C0226,1011,10,3,high,0.7142857142857143
C0227,781,5,0,high,0.8333333333333334
C0228,173,4,3,medium,0.5
C0229,638,10,1,high,0.8333333333333334
C0230,1254,6,2,high,0.6666666666666666
C0231,1177,10,3,low,0.7142857142857143
C0232,216,11,2,medium,0.7857142857142857
C0233,1379,5,1,medium,0.7142857142857143
C0234,493,8,1,high,0.8
C0235,1402,6,2,low,0.6666666666666666
C0236,689,9,1,high,0.8181818181818182
C0237,793,11,2,medium,0.7857142857142857
C0238,984,13,2,medium,0.8125
C0239,432,4,3,medium,0.5
C0240,1399,8,5,low,0.5714285714285714
C0241,176,5,2,high,0.625
C0242,1201,11,2,high,0.7857142857142857
C0243,893,8,1,medium,0.8
C0244,518,3,4,high,0.375
C0245,958,10,2,high,0.7692307692307693
C0246,580,12,2,medium,0.8
C0247,367,7,0,high,0.875
C0248,901,8,1,medium,0.8
C0249,670,2,1,medium,0.5
C0250,502,6,1,low,0.75
C0251,180,2,2,high,0.4
C0252,1468,11,3,low,0.7333333333333333
C0253,1351,11,3,high,0.7333333333333333
C0254,292,8,4,high,0.6153846153846154
C0255,173,14,3,medium,0.7777777777777778
C0256,375,13,1,medium,0.8666666666666667
C0257,653,2,3,medium,0.3333333333333333
C0258,1046,12,1,medium,0.8571428571428571
C0259,910,7,2,medium,0.7
C0260,31,9,0,medium,0.9
C0261,926,6,1,medium,0.75
C0262,1357,8,1,low,0.8
C0263,283,9,4,low,0.6428571428571429
C0264,482,7,1,low,0.7777777777777778
C0265,1090,8,2,high,0.7272727272727273
C0266,1213,6,2,high,0.6666666666666666
C0267,1044,7,1,medium,0.7777777777777778
C0268,38,10,3,medium,0.7142857142857143
C0269,1286,9,4,low,0.6428571428571429
C0270,1152,9,0,medium,0.9
C0271,845,2,2,low,0.4
C0272,237,6,2,medium,0.6666666666666666
C0273,1184,9,5,high,0.6
C0274,433,4,2,low,0.5714285714285714
C0275,181,13,2,high,0.8125
C0276,83,8,4,low,0.6153846153846154
C0277,1173,11,1,medium,0.8461538461538461
C0278,657,6,4,low,0.5454545454545454
C0279,616,8,3,medium,0.6666666666666666
C0280,1473,7,6,low,0.5
C0281,1475,11,0,medium,0.9166666666666666
C0282,133,8,3,medium,0.6666666666666666
C0283,283,11,1,medium,0.8461538461538461
C0284,1280,2,1,high,0.5
C0285,1165,5,2,high,0.625
C0286,539,5,2,medium,0.625
C0287,128,6,1,low,0.75
C0288,182,12,2,medium,0.8
C0289,943,5,3,high,0.5555555555555556
C0290,907,7,2,medium,0.7
C0291,367,7,2,medium,0.7
C0292,851,13,4,low,0.7222222222222222
C0293,1216,9,1,medium,0.8181818181818182
C0294,986,8,0,medium,0.8888888888888888
C0295,190,8,3,high,0.6666666666666666
C0296,830,4,2,high,0.5714285714285714
C0297,427,10,5,low,0.625
C0298,1330,13,3,medium,0.7647058823529411
C0299,845,6,7,medium,0.42857142857142855
C0300,1445,9,1,medium,0.8181818181818182
C0301,1188,9,4,high,0.6428571428571429
C0302,1248,9,1,medium,0.8181818181818182
C0303,430,3,2,medium,0.5
C0304,669,8,4,medium,0.6153846153846154
C0305,1086,9,2,high,0.75
C0306,717,7,0,medium,0.875
C0307,489,6,2,medium,0.6666666666666666
C0308,984,4,2,medium,0.5714285714285714
C0309,499,16,0,medium,0.9411764705882353
C0310,1428,11,1,high,0.8461538461538461
C0311,1075,9,3,medium,0.6923076923076923
C0312,779,7,0,medium,0.875
C0313,67,13,1,medium,0.8666666666666667
C0314,259,4,1,high,0.6666666666666666
C0315,1418,10,2,medium,0.7692307692307693
C0316,592,8,0,low,0.8888888888888888
C0317,467,8,0,medium,0.8888888888888888
C0318,1336,5,0,high,0.8333333333333334
C0319,56,9,3,high,0.6923076923076923
C0320,255,5,3,high,0.5555555555555556
C0321,1330,6,0,medium,0.8571428571428571
C0322,827,8,2,low,0.7272727272727273
C0323,313,5,3,high,0.5555555555555556
C0324,908,13,5,medium,0.6842105263157895
C0325,989,11,3,medium,0.7333333333333333
C0326,482,9,1,high,0.8181818181818182
C0327,1049,6,3,medium,0.6
C0328,845,9,2,medium,0.75
C0329,688,9,0,high,0.9
C0330,576,3,2,high,0.5
C0331,1245,7,4,medium,0.5833333333333334
C0332,1102,8,3,medium,0.6666666666666666
C0333,46,8,2,low,0.7272727272727273
C0334,1225,7,3,low,0.6363636363636364
C0335,1273,6,3,medium,0.6
C0336,187,5,1,medium,0.7142857142857143
C0337,506,10,1,high,0.8333333333333334
C0338,1099,5,5,high,0.45454545454545453
C0339,1426,8,2,high,0.7272727272727273
C0340,547,8,4,medium,0.6153846153846154
C0341,128,8,4,low,0.6153846153846154
C0342,1090,6,2,high,0.6666666666666666
C0343,309,8,2,medium,0.7272727272727273
C0344,1402,7,3,low,0.6363636363636364
C0345,526,10,4,medium,0.6666666666666666
C0346,331,7,1,high,0.7777777777777778
C0347,210,8,2,high,0.7272727272727273
C0348,636,9,1,low,0.8181818181818182
C0349,1152,8,6,high,0.5333333333333333
C0350,729,6,2,medium,0.6666666666666666
C0351,1022,9,2,low,0.75
C0352,1169,7,1,high,0.7777777777777778
C0353,220,8,4,high,0.6153846153846154
C0354,282,11,2,medium,0.7857142857142857
C0355,1010,7,3,medium,0.6363636363636364
C0356,957,9,1,high,0.8181818181818182
C0357,1214,8,4,high,0.6153846153846154
C0358,1309,6,4,high,0.5454545454545454
C0359,1376,6,0,medium,0.8571428571428571
C0360,157,14,8,high,0.6086956521739131
C0361,47,12,3,high,0.75
C0362,595,5,2,low,0.625
C0363,599,12,3,high,0.75
C0364,1376,8,0,medium,0.8888888888888888
C0365,715,7,2,medium,0.7
C0366,655,4,2,medium,0.5714285714285714
C0367,1341,5,1,low,0.7142857142857143
C0368,883,5,3,medium,0.5555555555555556
C0369,991,4,2,high,0.5714285714285714
C0370,184,7,2,medium,0.7
C0371,519,9,2,medium,0.75
C0372,1439,7,3,high,0.6363636363636364
C0373,814,6,3,medium,0.6
C0374,1157,7,3,medium,0.6363636363636364
C0375,1446,4,1,medium,0.6666666666666666
C0376,275,9,2,medium,0.75
C0377,1229,10,3,medium,0.7142857142857143
C0378,1092,11,0,high,0.9166666666666666
C0379,788,11,3,medium,0.7333333333333333
C0380,567,8,1,high,0.8
C0381,950,10,1,medium,0.8333333333333334
C0382,437,9,0,medium,0.9
C0383,554,8,2,high,0.7272727272727273
C0384,857,3,3,high,0.42857142857142855
C0385,932,5,2,medium,0.625
C0386,65,7,4,low,0.5833333333333334
C0387,714,7,1,low,0.7777777777777778
C0388,49,8,2,medium,0.7272727272727273
C0389,350,5,1,medium,0.7142857142857143
C0390,541,7,2,high,0.7
C0391,429,7,4,low,0.5833333333333334
C0392,683,7,0,high,0.875
C0393,1001,7,3,medium,0.6363636363636364
C0394,500,10,1,medium,0.8333333333333334
C0395,1196,7,2,medium,0.7
C0396,1145,9,1,medium,0.8181818181818182
C0397,1407,7,2,high,0.7
C0398,863,5,3,low,0.5555555555555556
C0399,756,8,3,medium,0.6666666666666666
C0400,883,12,1,high,0.8571428571428571
C0401,80,4,1,medium,0.6666666666666666
C0402,604,9,3,medium,0.6923076923076923
C0403,1243,7,5,medium,0.5384615384615384
C0404,1178,9,1,high,0.8181818181818182
C0405,179,10,3,high,0.7142857142857143
C0406,343,6,1,high,0.75
C0407,599,11,1,medium,0.8461538461538461
C0408,1395,6,2,high,0.6666666666666666
C0409,334,9,0,low,0.9
C0410,711,9,2,low,0.75
C0411,867,7,2,high,0.7
C0412,1107,7,1,low,0.7777777777777778
C0413,1032,8,4,low,0.6153846153846154
C0414,473,12,5,medium,0.6666666666666666
C0415,642,7,2,medium,0.7
C0416,1022,4,1,high,0.6666666666666666
C0417,293,7,2,medium,0.7
C0418,1106,7,3,medium,0.6363636363636364
C0419,1033,7,0,medium,0.875
C0420,34,5,1,high,0.7142857142857143
C0421,1156,7,5,high,0.5384615384615384
C0422,1249,6,3,medium,0.6
C0423,803,7,0,high,0.875
C0424,906,7,4,high,0.5833333333333334
C0425,1021,11,2,low,0.7857142857142857
C0426,913,10,2,low,0.7692307692307693
C0427,1403,8,1,low,0.8
C0428,76,11,4,high,0.6875
C0429,896,7,1,low,0.7777777777777778
C0430,852,11,1,medium,0.8461538461538461
C0431,965,4,3,low,0.5
C0432,685,6,2,high,0.6666666666666666
C0433,298,8,2,medium,0.7272727272727273
C0434,399,12,1,high,0.8571428571428571
C0435,665,6,2,high,0.6666666666666666
C0436,1159,6,2,low,0.6666666666666666
C0437,686,8,1,medium,0.8
C0438,149,10,2,low,0.7692307692307693
C0439,860,9,1,high,0.8181818181818182
C0440,1111,13,3,medium,0.7647058823529411
C0441,1399,8,0,low,0.8888888888888888
C0442,770,11,1,low,0.8461538461538461
C0443,146,10,2,medium,0.7692307692307693
C0444,820,11,3,high,0.7333333333333333
C0445,1180,13,3,high,0.7647058823529411
C0446,1446,6,0,high,0.8571428571428571
C0447,1042,12,1,medium,0.8571428571428571
C0448,1111,7,2,low,0.7
C0449,663,9,0,high,0.9
C0450,542,5,2,low,0.625
C0451,831,8,3,high,0.6666666666666666
C0452,1149,10,2,medium,0.7692307692307693
C0453,1171,9,4,low,0.6428571428571429
C0454,589,2,2,high,0.4
C0455,517,8,2,high,0.7272727272727273
C0456,1290,7,0,high,0.875
C0457,926,4,0,low,0.8
C0458,1325,8,2,low,0.7272727272727273
C0459,1242,13,1,medium,0.8666666666666667
C0460,733,5,1,medium,0.7142857142857143
C0461,610,4,3,high,0.5
C0462,819,9,2,low,0.75
C0463,890,4,4,high,0.4444444444444444
C0464,276,6,3,medium,0.6
C0465,1129,8,2,high,0.7272727272727273
C0466,183,11,1,medium,0.8461538461538461
C0467,1488,8,1,medium,0.8
C0468,1026,4,2,high,0.5714285714285714
C0469,1139,6,5,medium,0.5
C0470,726,9,4,high,0.6428571428571429
C0471,1338,9,1,high,0.8181818181818182
C0472,1273,6,0,high,0.8571428571428571
C0473,1122,10,0,medium,0.9090909090909091
C0474,1100,6,5,low,0.5
C0475,1038,4,4,low,0.4444444444444444
C0476,123,4,2,medium,0.5714285714285714
C0477,987,8,2,low,0.7272727272727273
C0478,1041,9,4,medium,0.6428571428571429
C0479,482,10,3,medium,0.7142857142857143
C0480,1257,13,6,medium,0.65
C0481,941,11,0,medium,0.9166666666666666
C0482,247,8,3,low,0.6666666666666666
C0483,503,11,1,low,0.8461538461538461
C0484,461,1,1,high,0.3333333333333333
C0485,370,14,1,medium,0.875
C0486,580,10,5,medium,0.625
C0487,1342,9,6,medium,0.5625
C0488,1307,10,1,high,0.8333333333333334
C0489,386,6,2,medium,0.6666666666666666
C0490,52,12,0,medium,0.9230769230769231
C0491,551,6,0,high,0.8571428571428571
C0492,1153,11,4,high,0.6875
C0493,831,7,2,medium,0.7
C0494,1233,7,1,medium,0.7777777777777778
C0495,1276,7,2,low,0.7
C0496,791,3,0,medium,0.75
C0497,471,5,0,high,0.8333333333333334
C0498,798,7,2,medium,0.7
C0499,1045,14,2,high,0.8235294117647058
C0500,1378,9,0,medium,0.9
C0501,545,4,2,high,0.5714285714285714
C0502,1069,12,1,medium,0.8571428571428571
C0503,821,9,3,low,0.6923076923076923
C0504,365,5,4,medium,0.5
C0505,287,5,4,medium,0.5
C0506,526,7,2,low,0.7
C0507,925,13,4,high,0.7222222222222222
C0508,189,10,4,medium,0.6666666666666666
C0509,881,10,2,high,0.7692307692307693
C0510,719,5,2,medium,0.625
C0511,409,7,0,low,0.875
C0512,986,5,4,high,0.5
C0513,720,11,3,medium,0.7333333333333333
C0514,1480,7,2,medium,0.7
C0515,1321,9,3,medium,0.6923076923076923
C0516,1470,7,3,medium,0.6363636363636364
C0517,1221,8,2,high,0.7272727272727273
C0518,1096,6,6,high,0.46153846153846156
C0519,314,2,1,medium,0.5
C0520,426,6,2,high,0.6666666666666666
C0521,41,6,2,low,0.6666666666666666
C0522,1355,12,2,medium,0.8
C0523,1306,5,3,high,0.5555555555555556
C0524,528,5,2,medium,0.625
C0525,783,6,3,high,0.6
C0526,64,6,1,high,0.75
C0527,756,9,1,high,0.8181818181818182
C0528,878,12,0,high,0.9230769230769231
C0529,119,10,6,medium,0.5882352941176471
C0530,805,5,2,low,0.625
C0531,634,10,6,medium,0.5882352941176471
C0532,999,12,2,high,0.8
C0533,1051,4,1,medium,0.6666666666666666
C0534,447,8,1,low,0.8
C0535,144,8,0,medium,0.8888888888888888
C0536,646,7,2,high,0.7
C0537,1249,6,2,high,0.6666666666666666
C0538,855,6,5,medium,0.5
C0539,1128,8,1,low,0.8
C0540,442,9,1,medium,0.8181818181818182
C0541,1429,11,2,low,0.7857142857142857
C0542,1473,11,2,low,0.7857142857142857
C0543,758,6,2,high,0.6666666666666666
C0544,1330,8,0,high,0.8888888888888888
C0545,1050,10,3,low,0.7142857142857143
C0546,790,6,3,low,0.6
C0547,705,7,3,medium,0.6363636363636364
C0548,1447,6,1,medium,0.75
C0549,486,8,3,medium,0.6666666666666666
C0550,949,8,1,medium,0.8
C0551,221,13,2,medium,0.8125
C0552,768,5,2,high,0.625
C0553,1152,9,1,high,0.8181818181818182
C0554,1007,8,5,medium,0.5714285714285714
C0555,1038,11,1,medium,0.8461538461538461
C0556,125,7,2,high,0.7
C0557,692,8,1,high,0.8
C0558,1243,4,4,low,0.4444444444444444
C0559,66,7,2,medium,0.7
C0560,1422,8,1,medium,0.8
C0561,308,12,1,low,0.8571428571428571
C0562,246,8,1,medium,0.8
C0563,896,7,3,medium,0.6363636363636364
C0564,902,9,1,medium,0.8181818181818182
C0565,1326,9,1,medium,0.8181818181818182
C0566,91,10,3,medium,0.7142857142857143
C0567,625,4,3,high,0.5
C0568,758,5,2,medium,0.625
C0569,1395,10,0,high,0.9090909090909091
C0570,426,13,1,low,0.8666666666666667
C0571,728,13,2,low,0.8125
C0572,1072,7,1,medium,0.7777777777777778
C0573,206,8,0,low,0.8888888888888888
C0574,425,6,0,low,0.8571428571428571
C0575,474,10,0,low,0.9090909090909091
C0576,1286,8,2,medium,0.7272727272727273
C0577,105,5,0,high,0.8333333333333334
C0578,294,10,0,medium,0.9090909090909091
C0579,484,13,5,high,0.6842105263157895
C0580,747,3,3,low,0.42857142857142855
C0581,764,10,1,medium,0.8333333333333334
C0582,1437,1,0,medium,0.5
C0583,880,5,2,high,0.625
C0584,1420,10,0,high,0.9090909090909091
C0585,173,13,1,high,0.8666666666666667
C0586,914,11,1,low,0.8461538461538461
C0587,1122,6,2,high,0.6666666666666666
C0588,1152,9,2,low,0.75
C0589,425,11,3,high,0.7333333333333333
C0590,1078,8,2,medium,0.7272727272727273
C0591,977,6,2,medium,0.6666666666666666
C0592,920,4,2,low,0.5714285714285714
C0593,1204,10,0,low,0.9090909090909091
C0594,1197,13,2,high,0.8125
C0595,598,6,0,high,0.8571428571428571
C0596,1092,6,0,medium,0.8571428571428571
C0597,138,8,4,high,0.6153846153846154
C0598,1095,8,2,high,0.7272727272727273
C0599,1239,10,3,medium,0.7142857142857143
C0600,964,7,4,low,0.5833333333333334
C0601,427,8,4,low,0.6153846153846154
C0602,1276,8,1,medium,0.8
C0603,663,13,3,medium,0.7647058823529411
C0604,1186,8,1,low,0.8
C0605,1216,6,3,low,0.6
C0606,1268,9,1,low,0.8181818181818182
C0607,762,6,2,high,0.6666666666666666
C0608,264,7,3,low,0.6363636363636364
C0609,687,6,1,medium,0.75
C0610,780,12,4,medium,0.7058823529411765
C0611,617,4,2,medium,0.5714285714285714
C0612,1062,7,0,low,0.875
C0613,1127,6,1,medium,0.75
C0614,983,10,0,low,0.9090909090909091
C0615,521,3,1,medium,0.6
C0616,942,7,4,low,0.5833333333333334
C0617,1306,6,2,medium,0.6666666666666666
C0618,1283,7,2,high,0.7
C0619,1227,5,1,medium,0.7142857142857143
C0620,1221,10,1,medium,0.8333333333333334
C0621,199,8,4,medium,0.6153846153846154
C0622,1446,6,4,high,0.5454545454545454
C0623,975,7,1,medium,0.7777777777777778
C0624,824,6,4,high,0.5454545454545454
C0625,663,14,0,high,0.9333333333333333
C0626,1247,9,2,medium,0.75
C0627,58,7,0,medium,0.875
C0628,1218,8,2,medium,0.7272727272727273
C0629,1475,8,1,low,0.8
C0630,368,12,3,low,0.75
C0631,1418,10,3,low,0.7142857142857143
C0632,1395,11,0,low,0.9166666666666666
C0633,529,9,2,medium,0.75
C0634,540,5,0,high,0.8333333333333334
C0635,1380,6,2,medium,0.6666666666666666
C0636,246,8,1,high,0.8
C0637,1354,6,3,high,0.6
C0638,1185,10,2,high,0.7692307692307693
C0639,1123,10,1,high,0.8333333333333334
C0640,1305,7,2,medium,0.7
C0641,1468,8,3,low,0.6666666666666666
C0642,474,12,3,medium,0.75
C0643,905,8,0,medium,0.8888888888888888
C0644,1235,8,1,high,0.8
C0645,196,12,4,high,0.7058823529411765
C0646,120,5,3,medium,0.5555555555555556
C0647,743,6,1,medium,0.75
C0648,68,9,0,low,0.9
C0649,1179,8,4,low,0.6153846153846154
C0650,202,13,1,medium,0.8666666666666667
C0651,682,5,3,medium,0.5555555555555556
C0652,783,8,1,high,0.8
C0653,1273,4,2,medium,0.5714285714285714
C0654,1111,3,4,high,0.375
C0655,505,13,1,medium,0.8666666666666667
C0656,485,6,4,high,0.5454545454545454
C0657,858,7,2,low,0.7
C0658,924,10,3,high,0.7142857142857143
C0659,1414,7,4,high,0.5833333333333334
C0660,1054,8,5,low,0.5714285714285714
C0661,416,8,1,low,0.8
C0662,377,7,2,high,0.7
C0663,219,8,3,low,0.6666666666666666
C0664,534,8,0,medium,0.8888888888888888
C0665,1244,9,1,medium,0.8181818181818182
C0666,1422,6,2,high,0.6666666666666666
C0667,1462,8,0,high,0.8888888888888888
C0668,853,11,2,medium,0.7857142857142857
C0669,958,12,4,medium,0.7058823529411765
C0670,963,7,3,high,0.6363636363636364
C0671,1170,9,2,high,0.75
C0672,163,6,4,high,0.5454545454545454
C0673,87,9,3,medium,0.6923076923076923
C0674,714,5,0,medium,0.8333333333333334
C0675,701,13,2,medium,0.8125
C0676,202,12,5,high,0.6666666666666666
C0677,844,8,1,low,0.8
C0678,1202,8,2,medium,0.7272727272727273
C0679,109,5,2,low,0.625
C0680,915,9,2,medium,0.75
C0681,1266,3,1,high,0.6
C0682,232,8,2,low,0.7272727272727273
C0683,793,10,0,high,0.9090909090909091
C0684,1282,8,0,high,0.8888888888888888
C0685,1280,13,0,medium,0.9285714285714286
C0686,1494,3,2,high,0.5
C0687,1455,9,5,high,0.6
C0688,76,4,3,high,0.5
C0689,1286,12,4,medium,0.7058823529411765
C0690,1358,8,1,low,0.8
