payment_id,amount,recovery_probability,expected_recoverable_revenue,recovery_priority,confidence,retry_count,action,status,timestamp,reason,recovery_message,payment_link_id,payment_link_url,payment_link_status
P04279,27032.24,0.5516406962014552,14912.083693484825,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.653998,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P03840,26245.95,0.5570811705272816,14621.124547600506,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.654056,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹26,245.95 could not be completed because a temporary network issue interrupted the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_00cbadb40cb2,https://rzp.io/i/mock_adb40cb2,created
P04103,34835.3,0.3933915266699042,13703.911849004115,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.654151,High-value opportunity but model confidence is low,,,,
P03479,30965.94,0.41305775011551554,12790.721506612046,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.654374,High-value opportunity but model confidence is low,,,,
P07363,37705.42,0.33512982518453777,12636.210813109574,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.654457,High-value opportunity but model confidence is low,,,,
P07915,32218.03,0.3919546600569947,12628.006996356056,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.654501,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹32,218.03 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_48ee2ec63e38,https://rzp.io/i/mock_2ec63e38,created
P02590,30800.24,0.4050547667142714,12475.78402794357,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.654582,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹30,800.24 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_36568e8a95ed,https://rzp.io/i/mock_8e8a95ed,created
P08152,23760.65,0.5172098013271055,12289.24106590289,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.654639,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P06104,33726.76,0.3589378076785154,12105.809294499448,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.654737,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹33,726.76 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_836d6affffe4,https://rzp.io/i/mock_6affffe4,created
P07791,25174.76,0.4610025973182606,11605.629746863853,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.654809,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P07772,23065.98,0.4681136658943718,10797.500455246261,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.654847,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P09440,25051.65,0.4259882816469888,10671.709335921789,High,High,2,STOP,BLOCKED,2026-08-31T00:01:34.654883,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P07267,23325.42,0.44666583818680633,10418.668275359296,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.654916,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04914,25516.96,0.4022171853280695,10263.359829328936,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.654949,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P01723,18332.31,0.5597941430401708,10262.319766396755,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.654982,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04330,23985.07,0.4276728670598391,10257.763653530934,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655016,High-value opportunity but model confidence is low,,,,
P01460,23417.65,0.43755333379255434,10246.47082708721,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.655047,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P09152,20166.09,0.48588376835873354,9798.375802261373,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655079,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹20,166.09 could not be completed because the payment authentication could not be completed.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_02ffedb33962,https://rzp.io/i/mock_edb33962,created
P03413,21971.73,0.44388865927379517,9753.001771625823,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655131,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹21,971.73 could not be completed because a temporary network issue interrupted the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_2a32c7f082c7,https://rzp.io/i/mock_c7f082c7,created
P07653,25699.52,0.36562772287079487,9396.456976472451,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655180,High-value opportunity but model confidence is low,,,,
P09146,28276.43,0.32911939773816423,9306.321611785359,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.655210,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P08745,21139.88,0.4364470000032706,9226.43720642914,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655240,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹21,139.88 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_153a19bb0187,https://rzp.io/i/mock_19bb0187,created
P08030,18635.74,0.49201436282616423,9169.051741894062,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.655288,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05115,29342.66,0.3079965397391806,9037.437746743266,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655321,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹29,342.66 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_44e20ea7a2ce,https://rzp.io/i/mock_0ea7a2ce,created
P04597,23469.23,0.3820335954558707,8966.034319480783,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655372,High-value opportunity but model confidence is low,,,,
P03126,31568.03,0.2829284065636699,8931.492426254128,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655404,High-value opportunity but model confidence is low,,,,
P09155,21839.36,0.4015798926672748,8770.247844721975,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655435,High-value opportunity but model confidence is low,,,,
P09365,23602.05,0.3678681463218143,8682.442382894777,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655466,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹23,602.05 could not be completed because your card payment was declined by the issuing bank.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_5fc33228f39c,https://rzp.io/i/mock_3228f39c,created
P08750,20167.22,0.4285406576322817,8642.473721414905,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.655514,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04972,26171.82,0.3298482059449954,8632.72787331535,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655545,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹26,171.82 could not be completed because the payment authentication could not be completed.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_426ea83c5e38,https://rzp.io/i/mock_a83c5e38,created
P02545,26328.74,0.326824735621493,8604.883489747028,High,Low,1,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655705,High-value opportunity but model confidence is low,,,,
P01714,16594.82,0.5185191077525193,8604.731259713662,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.655744,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P08949,15886.22,0.5333295052089769,8472.589852240953,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.655780,High-value opportunity but model confidence is low,,,,
P03291,24712.18,0.339982939476368,8401.719597269112,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.655814,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P03106,29545.21,0.28048180211505735,8286.893744667814,High,High,2,STOP,BLOCKED,2026-08-31T00:01:34.655857,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P08147,15385.3,0.5303564833123057,8159.693602704816,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.655896,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹15,385.30 could not be completed because the OTP verification was unsuccessful.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_c1358b894faf,https://rzp.io/i/mock_8b894faf,created
P08088,21984.91,0.36688536421928325,8065.941712678163,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.655950,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05841,27384.85,0.2939168683687513,8048.869352747999,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.655982,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05576,20572.96,0.38896941049990746,8002.252123438176,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656012,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹20,572.96 could not be completed because your card payment was declined by the issuing bank.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_6320f8d12632,https://rzp.io/i/mock_f8d12632,created
P02902,21263.37,0.3748687879109181,7970.973738801378,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.656059,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P08700,19678.43,0.40504195531314147,7970.589764692782,High,High,1,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656089,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹19,678.43 could not be completed because the payment authentication could not be completed.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_df71c51d3d6e,https://rzp.io/i/mock_c51d3d6e,created
P04777,16161.76,0.49064163488975643,7929.63234909587,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656137,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹16,161.76 could not be completed because a temporary network issue interrupted the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_60d7aebfd9f9,https://rzp.io/i/mock_aebfd9f9,created
P03532,16031.68,0.4889299562329728,7838.368600741026,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656183,High-value opportunity but model confidence is low,,,,
P08410,19068.6,0.4089300386848126,7797.723335665217,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656215,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹19,068.60 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_8f1934dc8621,https://rzp.io/i/mock_34dc8621,created
P03907,18937.02,0.40924547700378394,7749.889782930197,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.656259,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P01706,20393.95,0.37930028451019154,7735.431037286621,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.656290,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P08656,20133.14,0.3792909528838869,7636.317855144699,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.656321,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P00185,20030.27,0.37955528944856065,7602.594927582821,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.656356,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P01870,17548.49,0.43270619182188075,7593.3402801243565,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656387,High-value opportunity but model confidence is low,,,,
P06940,18058.85,0.419375613510629,7573.441298046422,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.656417,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P01322,16019.92,0.47132405207751843,7550.573608357679,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656447,High-value opportunity but model confidence is low,,,,
P06320,16306.56,0.45997948020841684,7500.682992787361,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656476,High-value opportunity but model confidence is low,,,,
P06660,26210.39,0.2851662426299517,7474.31843416566,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656504,High-value opportunity but model confidence is low,,,,
P08024,15752.36,0.4683724474059548,7377.971405619666,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656532,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹15,752.36 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_a9291e0d721b,https://rzp.io/i/mock_1e0d721b,created
P09308,14672.75,0.5021275903327623,7367.592601055038,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656579,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹14,672.75 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_35144a1131e3,https://rzp.io/i/mock_4a1131e3,created
P04258,16493.25,0.44660373053238706,7365.946978603293,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656623,High-value opportunity but model confidence is low,,,,
P04292,20139.21,0.35885979639741344,7227.152800204753,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656656,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹20,139.21 could not be completed because a temporary network issue interrupted the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_15a92b1ede9f,https://rzp.io/i/mock_2b1ede9f,created
P05804,13510.04,0.5311489832592549,7175.844009791864,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.656699,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P01325,16303.17,0.43545942359210404,7099.369010924083,High,High,2,STOP,BLOCKED,2026-08-31T00:01:34.656729,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P02971,21910.78,0.32395438440988966,7098.093246840522,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656757,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹21,910.78 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_170d328b4a4b,https://rzp.io/i/mock_328b4a4b,created
P01166,15898.15,0.44151949623262293,7019.343179030674,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656805,High-value opportunity but model confidence is low,,,,
P09333,13609.84,0.5127845346653801,6978.915471270277,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656833,High-value opportunity but model confidence is low,,,,
P04336,28207.89,0.246501599981661,6953.290017106695,High,Low,2,STOP,BLOCKED,2026-08-31T00:01:34.656861,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P02036,24867.47,0.279266291550633,6944.64612714662,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656888,High-value opportunity but model confidence is low,,,,
P09351,18618.82,0.3706873843099651,6901.761684738065,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.656916,High-value opportunity but model confidence is low,,,,
P09918,20244.25,0.34028837370903114,6888.882909459054,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656943,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹20,244.25 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_701855c023e8,https://rzp.io/i/mock_55c023e8,created
P07298,13365.45,0.5137867004040358,6866.9904549151215,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.656989,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹13,365.45 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_90817913fb2e,https://rzp.io/i/mock_7913fb2e,created
P09738,19713.32,0.34708650763299514,6842.2273926516755,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.657031,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P03162,14576.01,0.46868017104069765,6831.48685989092,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657058,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P07394,22415.06,0.3047692899999777,6831.421921506901,High,Low,1,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657085,High-value opportunity but model confidence is low,,,,
P08110,13601.21,0.4984106922553241,6778.988491610036,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657118,High-value opportunity but model confidence is low,,,,
P08729,22871.63,0.2932672368549083,6707.499732467827,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657145,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04633,12820.84,0.5171162325477826,6629.864478897914,High,Low,1,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657171,High-value opportunity but model confidence is low,,,,
P07353,15282.63,0.4327528933426502,6613.602350385186,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.657197,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹15,282.63 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_d090f9658db4,https://rzp.io/i/mock_f9658db4,created
P02961,13706.03,0.4820308743454012,6606.7296247043,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657240,High-value opportunity but model confidence is low,,,,
P01881,11418.56,0.5685631933000098,6492.17293648776,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657267,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04947,23377.82,0.27353670977526334,6394.691964518347,High,High,2,STOP,BLOCKED,2026-08-31T00:01:34.657293,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P03824,12496.64,0.5096355464208425,6368.731954824557,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.657319,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹12,496.64 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_8bce5c10f7b4,https://rzp.io/i/mock_5c10f7b4,created
P00111,21123.73,0.2995294267953663,6327.178738680083,High,Medium,2,STOP,BLOCKED,2026-08-31T00:01:34.657361,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05311,13353.24,0.4737925985061893,6326.666278076787,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657389,High-value opportunity but model confidence is low,,,,
P06353,18018.04,0.34717033619432136,6255.32900436273,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657417,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P06197,16039.66,0.3830506848831809,6144.002748293361,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.657443,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P03741,13293.42,0.451991704710562,6008.515567233479,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657470,High-value opportunity but model confidence is low,,,,
P00163,11712.45,0.5086029056888047,5956.986102734842,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657496,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05878,15597.38,0.3782611410265561,5899.882755824786,High,Low,2,STOP,BLOCKED,2026-08-31T00:01:34.657523,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04824,13197.79,0.44521952686665844,5875.913819485517,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.657548,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹13,197.79 could not be completed because your bank was unable to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_157f96056ddd,https://rzp.io/i/mock_96056ddd,created
P00613,16404.8,0.35763055630838986,5866.857750127873,High,High,1,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.657591,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹16,404.80 could not be completed because your card payment was declined by the issuing bank.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_68b6735e36f5,https://rzp.io/i/mock_735e36f5,created
P05724,11904.96,0.49227186026088976,5860.476805531482,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657632,High-value opportunity but model confidence is low,,,,
P07893,11680.47,0.499321632212686,5832.311345411312,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657660,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05905,15630.99,0.3728369271461239,5827.810279851791,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657686,High-value opportunity but model confidence is low,,,,
P07283,16971.31,0.3420946903508433,5805.79503929817,High,High,1,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.657712,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹16,971.31 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_86c69a52dc6b,https://rzp.io/i/mock_9a52dc6b,created
P01571,10714.49,0.5371597771684637,5755.393060873733,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.657752,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹10,714.49 could not be completed because a temporary network issue interrupted the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_9facb1d2be18,https://rzp.io/i/mock_b1d2be18,created
P01024,22330.27,0.257138434215832,5741.970663416767,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.657793,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05304,15894.36,0.360096484349254,5723.503156981409,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657822,High-value opportunity but model confidence is low,,,,
P01142,11707.32,0.4862086110884041,5692.199796767494,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657858,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P05207,12963.53,0.43588804684213717,5650.64777187945,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.657906,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P04711,14866.9,0.37629114040582723,5594.282755299393,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.657950,High-value opportunity but model confidence is low,,,,
P00892,11562.19,0.48217871328568623,5575.041896964629,High,Medium,1,STOP,BLOCKED,2026-08-31T00:01:34.657993,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P01622,10945.28,0.5022374915285219,5497.129971277301,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.658037,High-value opportunity but model confidence is low,,,,
P01293,11669.86,0.46957838712233513,5479.914036743454,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.658081,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
